65.85455	190.1936	nan
OG0000092.1	OG0004124.0	OG0007440.0
nan	2.066031	3.169996
OG0000000.1528	OG0008540.0	OG0000088.3
3.8285739999999997	3.830138	nan
OG0000785.2	OG0010624.0	OG0004504.4
nan	1.128978	0.9984499
OG0000711.2	OG0008570.0	OG0009819.0
nan	3.873322	2.96561
OG0005620.0	OG0011403.0	OG0000198.0
12.18486	0.7076828000000001	nan
OG0007189.2	OG0002854.0	OG0000147.0
0.9907738000000001	3.9668309999999996	nan
OG0000183.0	OG0012178.2	OG0002401.1
nan	1.417092	10.715160000000001
OG0010624.0	OG0000048.122	OG0003769.4
1.128978	nan	1.5062950000000002
OG0000276.72	OG0003042.54	OG0006159.0
nan	3.961267	0.7619885000000001
OG0000042.314	OG0006284.0	OG0003838.7
nan	13.905070000000002	0.9804388
OG0000403.25	OG0006141.8	OG0005995.0
nan	4.8726	1.070215
OG0000294.0	OG0010608.0	OG0007452.2
nan	4.462955	3.849451
OG0000391.20	OG0009848.0	OG0003072.2
nan	3.215136	2.2862560000000003
OG0006799.0	OG0000176.0	OG0008067.0
2.190193	nan	1.7438240000000003
OG0000002.763	OG0003390.22	OG0007429.0
nan	1.137365	3.1463740000000002
OG0000403.25	OG0005929.2	OG0009819.0
nan	nan	2.96561
OG0000183.0	OG0005091.0	OG0004169.4
nan	3.140016	3.791443
OG0005553.0	OG0000261.0	OG0002677.13
45.62595	nan	10.58808
OG0003037.24	OG0000606.2	OG0005062.1
2.742499	nan	3.1374880000000003
OG0000403.25	OG0010617.4	OG0007525.0
nan	1.612417	142.1423
OG0000420.0	OG0008186.0	OG0012732.0
nan	4.293757	4.145255000000001
OG0000188.1	OG0003835.22	OG0000107.318
nan	0.4266874	2.037189
OG0000125.49	OG0008321.0	OG0003192.0
nan	188.2433	1.787205
OG0011348.0	OG0004207.12	OG0000198.0
2.571637	3.5743669999999996	nan
OG0000359.28	OG0004758.4	OG0010537.0
nan	2.832169	3.199576
OG0000294.0	OG0006453.1	OG0003261.23
nan	2.726789	14.19605
OG0000302.34	OG0007805.4	OG0003774.0
nan	1.904277	65.85455
OG0000062.12	OG0005365.0	OG0007163.2
nan	26.38287	5.209328
OG0005846.2	OG0000420.0	OG0005993.0
4.199369	nan	14.055639999999999
OG0000042.314	OG0010611.4	OG0007822.0
nan	1.05762	10.91375
OG0011953.0	OG0000403.25	OG0002854.0
3.3660330000000003	nan	3.9668309999999996
OG0000785.2	OG0008603.0	OG0008450.4
nan	3.868605	0.7079141999999999
OG0003843.12	OG0000183.0	OG0005157.0
12.17437	nan	14.0569
OG0007539.0	OG0000256.24	OG0005062.1
2.57999	nan	3.1374880000000003
OG0011303.0	OG0003042.54	OG0000336.0
2.7280029999999997	3.961267	nan
OG0003775.0	OG0006328.0	OG0000130.38
68.03086	187.5131	nan
OG0004138.22	OG0000206.0	OG0004754.7
nan	nan	1.674665
OG0000403.25	OG0007348.0	OG0008186.0
nan	3.60848	4.293757
OG0012213.0	OG0002361.0	OG0000409.24
1.0090700000000001	9.105516999999999	nan
OG0011936.0	OG0000279.0	OG0002557.50
3.017746	nan	1.996773
OG0004865.2	OG0000749.2	OG0006224.0
2.840195	nan	26.47893
OG0002940.48	OG0003761.0	OG0000147.0
26.37758	14.061860000000001	nan
OG0005110.0	OG0000431.12	OG0013626.0
4.69939	nan	1.426361
OG0000225.48	OG0005606.20	OG0004053.9
nan	3.850175	0.9410370000000001
OG0006453.1	OG0000336.0	OG0006312.0
2.726789	nan	26.10399
OG0000290.0	OG0004780.0	OG0004240.0
nan	26.10856	5.701112999999999
OG0000261.0	OG0005079.0	OG0007962.0
nan	12.39477	3.95955
OG0000264.1	OG0007146.0	OG0006008.0
nan	2.417595	nan
OG0006083.0	OG0000360.25	OG0000081.1
2.746929	4.243333	nan
OG0004589.2	OG0000263.57	OG0013962.0
0.9054583	nan	1.255269
OG0000204.2	OG0004887.1	OG0004240.0
nan	26.74073	5.701112999999999
OG0000290.0	OG0010584.0	OG0004951.0
nan	3.602414	2.860731
OG0006099.2	OG0006018.4	OG0000336.0
3.4422980000000005	nan	nan
OG0003559.24	OG0000302.34	OG0005232.0
26.114720000000002	nan	66.97128000000001
OG0004049.8	OG0006109.16	OG0000431.12
1.2807549999999999	4.413752	nan
OG0013994.0	OG0007163.2	OG0000749.2
2.962888	5.209328	nan
OG0000018.1	OG0003543.0	OG0005288.0
nan	0.5148419	2.019371
OG0004759.3	OG0000120.105	OG0010624.0
2.8562279999999998	nan	1.128978
OG0000204.2	OG0009251.1	OG0007165.4
nan	1.1226639999999999	4.250237
OG0005948.0	OG0007163.2	OG0000409.24
13.8582	5.209328	nan
OG0000403.25	OG0004007.3	OG0005199.18
nan	3.9724440000000003	183.2172
OG0000320.0	OG0007183.2	OG0012267.0
nan	5.34124	1.113998
OG0005701.4	OG0003847.24	OG0000147.0
2.665883	26.15942	nan
OG0000062.12	OG0003775.0	OG0011346.0
nan	68.03086	2.5520549999999997
OG0000290.0	OG0004623.10	OG0005580.17
nan	0.9870076999999999	0.9937056000000001
OG0000359.28	OG0008570.0	OG0007122.8
nan	3.873322	4.167566000000001
OG0004631.4	OG0003851.24	OG0000606.2
0.6247626000000001	nan	nan
OG0000160.4	OG0006412.3	OG0006074.0
nan	1.238142	1.07764
OG0007965.0	OG0000160.4	OG0002708.0
2.032626	nan	1.0675059999999998
OG0004259.24	OG0003661.0	OG0000223.2
nan	95.4282	nan
