OG0001915.0	OG0002097.0	OG0000001.1420	OG0000828.16	OG0014341.0
nan	nan	nan	nan	-0.5729696
OG0001055.24	OG0001259.24	OG0016178.1	OG0000038.0	OG0001186.24
nan	nan	-1.678459	nan	nan
OG0015391.4	OG0000935.24	OG0001798.0	OG0000018.289	OG0001346.24
-0.3059462	nan	nan	nan	nan
OG0000007.976	OG0016144.4	OG0001460.24	OG0000948.24	OG0001820.0
nan	-1.709655	nan	nan	nan
OG0001169.24	OG0005772.1	OG0002104.0	OG0000018.289	OG0001402.24
nan	-1.216431	nan	nan	nan
OG0001234.24	OG0001339.1	OG0010765.0	OG0001329.24	OG0000026.45
nan	nan	1.442733	nan	nan
OG0000010.475	OG0012731.2	OG0000600.26	OG0001000.24	OG0001063.0
nan	-1.6230930000000001	nan	nan	nan
OG0002024.0	OG0001998.0	OG0001629.5	OG0000001.1420	OG0008493.6
nan	nan	nan	nan	0.5355977
OG0000054.0	OG0000637.34	OG0001399.24	OG0009060.0	OG0000906.25
nan	nan	nan	0.45086990000000005	nan
OG0001508.1	OG0001076.24	OG0002054.0	OG0000032.252	OG0010528.1
nan	nan	nan	nan	-0.2961034
OG0000002.1788	OG0000948.24	OG0014691.1	OG0000834.30	OG0001252.1
nan	nan	-1.564083	nan	nan
OG0000054.0	OG0000860.24	OG0014841.0	OG0002055.0	OG0001335.24
nan	nan	0.9388859	nan	nan
OG0002174.0	OG0000038.0	OG0001313.24	OG0001139.24	OG0001617.1
nan	nan	nan	nan	-1.402551
OG0007307.2	OG0001122.1	OG0001859.0	OG0001364.24	OG0000012.918
-1.1942620000000002	nan	nan	nan	nan
OG0000054.0	OG0001394.24	OG0000822.0	OG0002080.0	OG0019409.0
nan	nan	nan	nan	-0.023812700000000003
OG0001307.24	OG0000026.45	OG0001247.24	OG0016180.0	OG0002058.0
nan	nan	nan	1.18249	nan
OG0000054.0	OG0002051.0	OG0000976.24	OG0006508.0	OG0001553.14
nan	nan	nan	-1.174655	nan
OG0013202.0	OG0000011.1	OG0001246.24	OG0002027.0	OG0001309.24
1.42585	nan	nan	nan	nan
OG0001085.24	OG0018011.0	OG0002138.0	OG0000830.1	OG0000032.252
nan	-1.643386	nan	nan	nan
OG0012729.10	OG0002252.0	OG0001460.24	OG0000038.0	OG0001649.0
-1.58709	nan	nan	nan	nan
OG0002122.0	OG0008678.1	OG0000002.1788	OG0001456.24	OG0001070.26
nan	-1.157889	nan	nan	nan
OG0001246.24	OG0014555.2	OG0002128.0	OG0000001.1420	OG0001184.24
nan	-1.582985	nan	nan	nan
OG0001996.0	OG0002096.0	OG0001162.22	OG0000001.1420	OG0006959.0
nan	nan	nan	nan	-0.25694839999999997
OG0002063.0	OG0010970.0	OG0000056.0	OG0001249.1	OG0001263.26
nan	-0.5103358	nan	nan	nan
OG0002134.0	OG0000861.24	OG0008758.2	OG0000038.0	OG0000853.1
nan	nan	-1.377453	nan	nan
OG0000397.30	OG0001244.24	OG0000082.1	OG0012951.0	OG0000415.0
nan	nan	nan	-0.30578099999999997	nan
OG0017870.2	OG0000915.28	OG0001584.0	OG0000082.1	OG0001137.24
1.3109879999999998	nan	nan	nan	nan
OG0000816.36	OG0001226.24	OG0001167.24	OG0000082.1	OG0018408.0
nan	nan	nan	nan	0.686679
OG0000007.976	OG0002151.0	OG0001382.24	OG0010981.0	OG0001954.0
nan	nan	nan	-0.6952162	nan
OG0001226.24	OG0000820.2	OG0000678.1	OG0000032.252	OG0011573.0
nan	nan	nan	nan	-0.42466390000000004
OG0001996.0	OG0001095.25	OG0000615.1	OG0020744.0	OG0000056.0
nan	nan	nan	0.5551649000000001	nan
OG0007618.0	OG0000026.45	OG0002036.0	OG0001162.22	OG0001271.1
-1.269852	nan	nan	nan	nan
OG0000054.0	OG0018464.2	OG0002159.0	OG0002174.0	OG0002214.0
nan	0.7872485	nan	nan	nan
OG0000011.1	OG0002083.0	OG0022208.0	OG0002070.0	OG0001172.24
nan	nan	-0.046010300000000004	nan	nan
OG0012034.0	OG0001149.24	OG0001999.0	OG0000936.24	OG0000056.0
0.04945278	nan	nan	nan	nan
OG0000919.32	OG0000002.1788	OG0013252.2	OG0001000.24	OG0001319.1
nan	nan	1.567141	nan	nan
OG0002102.0	OG0001245.24	OG0013173.1	OG0000001.1420	OG0000803.36
nan	nan	0.3227072	nan	nan
OG0000007.976	OG0002102.0	OG0002003.1	OG0018845.0	OG0001637.1
nan	nan	nan	1.260127	nan
OG0000002.1788	OG0011000.0	OG0001030.26	OG0002003.1	OG0002070.0
nan	-0.6425281999999999	nan	nan	nan
OG0009195.0	OG0000975.0	OG0000002.1788	OG0000860.24	OG0001029.24
-0.6112993	nan	nan	nan	nan
OG0002050.0	OG0000347.80	OG0001142.24	OG0007932.0	OG0000006.561
nan	nan	nan	-1.194472	nan
OG0010628.2	OG0000002.1788	OG0001455.24	OG0000909.26	OG0000518.24
-0.3753767	nan	nan	nan	nan
OG0000002.1788	OG0001431.24	OG0018140.2	OG0001801.0	OG0001249.1
nan	nan	-0.43839799999999995	nan	nan
OG0002130.0	OG0000460.47	OG0016814.0	OG0000700.36	OG0000032.252
nan	nan	-0.6764846999999999	nan	nan
OG0000007.976	OG0001043.2	OG0001297.24	OG0001859.0	OG0016288.4
nan	nan	nan	nan	0.3445132
OG0002102.0	OG0016916.0	OG0001247.24	OG0001540.26	OG0000018.289
nan	-1.2433610000000002	nan	nan	nan
OG0013928.0	OG0002102.0	OG0002244.0	OG0002013.0	OG0000006.561
0.1485715	nan	nan	nan	nan
OG0010089.0	OG0001445.24	OG0002252.0	OG0001190.24	OG0000038.0
-0.2952317	nan	nan	nan	nan
OG0002067.0	OG0000987.19	OG0001803.6	OG0010802.0	OG0000012.918
nan	nan	nan	0.7583578000000001	nan
OG0000007.976	OG0001194.24	OG0014802.1	OG0002077.0	OG0000700.36
nan	nan	-1.7952009999999998	nan	nan
OG0001292.1	OG0001512.12	OG0001397.24	OG0016983.0	OG0000056.0
nan	nan	nan	-0.1858594	nan
OG0000011.1	OG0002060.0	OG0007918.0	OG0001364.24	OG0001379.1
nan	nan	-0.33645159999999996	nan	nan
OG0001435.1	OG0016127.4	OG0000101.90	OG0000038.0	OG0000976.24
nan	-1.663586	nan	nan	nan
OG0001855.4	OG0001553.14	OG0000026.45	OG0020641.0	OG0002233.0
nan	nan	nan	-1.5886209999999998	nan
OG0001071.1	OG0000011.1	OG0001303.26	OG0001353.24	OG0014675.4
nan	nan	nan	nan	-1.62544
OG0020616.0	OG0002225.0	OG0001963.0	OG0000001.1420	OG0000339.0
1.1742059999999999	nan	nan	nan	nan
OG0015777.0	OG0001764.0	OG0000038.0	OG0001865.0	OG0001092.1
0.510681	nan	nan	nan	nan
OG0000000.626	OG0000367.3	OG0000894.25	OG0000001.1420	OG0011934.2
nan	nan	nan	nan	-0.05632152
OG0001661.0	OG0002123.0	OG0015368.2	OG0001457.24	OG0000082.1
nan	nan	1.131138	nan	nan
OG0001772.0	OG0001667.0	OG0000026.45	OG0002097.0	OG0000007.338
nan	nan	nan	nan	0.22806880000000002
OG0000054.0	OG0001855.4	OG0000588.0	OG0000767.24	OG0016979.0
nan	nan	nan	nan	0.6145951999999999
OG0000007.976	OG0001562.24	OG0017147.0	OG0001235.24	OG0001674.0
nan	nan	1.287482	nan	nan
OG0001961.2	OG0001418.30	OG0010969.0	OG0000032.252	OG0001511.22
nan	nan	1.2008370000000002	nan	nan
OG0000054.0	OG0000577.45	OG0001093.24	OG0001480.22	OG0001008.28
nan	-1.369494	nan	nan	nan
OG0001129.24	OG0000026.45	OG0001847.4	OG0014717.1	OG0002057.0
nan	nan	nan	-1.5358379999999998	nan
OG0007566.10	OG0001409.1	OG0001442.1	OG0002233.0	OG0000012.918
-1.258337	nan	nan	nan	nan
OG0001821.4	OG0001516.22	OG0000032.252	OG0000925.1	OG0011913.0
nan	nan	nan	nan	0.20153110000000002
OG0000054.0	OG0000101.90	OG0002053.0	OG0001078.24	OG0020859.0
nan	nan	nan	nan	-1.24037
OG0002164.0	OG0020422.0	OG0000865.1	OG0001384.1	OG0000006.561
nan	-1.236633	nan	nan	nan
OG0001502.26	OG0002140.0	OG0000918.1	OG0000276.63	OG0000056.0
nan	nan	nan	nan	nan
OG0000054.0	OG0001125.24	OG0002110.0	OG0005497.18	OG0001144.24
nan	nan	nan	0.22770500000000002	nan
OG0001937.2	OG0000829.5	OG0001311.5	OG0000012.918	OG0019389.0
nan	nan	nan	nan	0.9034124
OG0000054.0	OG0000101.90	OG0001492.24	OG0001210.24	OG0016111.4
nan	nan	nan	nan	-1.7321389999999999
OG0000529.60	OG0001938.0	OG0001000.24	OG0000018.289	OG0018395.0
nan	nan	nan	nan	0.3246185
OG0002222.0	OG0007339.0	OG0000056.0	OG0002114.0	OG0000453.2
nan	-1.1211870000000002	nan	nan	nan
OG0013168.0	OG0001274.24	OG0002154.0	OG0000181.164	OG0000006.561
0.9495078000000001	nan	nan	nan	nan
OG0002175.0	OG0001032.24	OG0000026.45	OG0014022.4	OG0000453.2
nan	nan	nan	1.066732	nan
OG0000909.26	OG0001132.24	OG0017889.0	OG0000675.1	OG0000012.918
nan	nan	0.8822373	nan	nan
OG0000010.475	OG0013236.0	OG0001447.24	OG0001300.1	OG0000853.1
nan	0.313791	nan	nan	nan
OG0000054.0	OG0013890.2	OG0002103.0	OG0001885.0	OG0002170.0
nan	-0.3605693	nan	nan	nan
OG0001936.0	OG0006767.7	OG0000984.24	OG0000012.918	OG0001063.0
nan	1.238104	nan	nan	nan
OG0001067.24	OG0000026.45	OG0008405.1	OG0002236.0	OG0002073.0
nan	nan	1.1909	nan	nan
OG0000002.1788	OG0017873.2	OG0002053.0	OG0000709.10	OG0001801.0
nan	-1.251933	nan	nan	nan
OG0000011.1	OG0012368.0	OG0001414.24	OG0000377.2	OG0000383.2
nan	1.207639	nan	nan	nan
OG0001222.24	OG0001352.26	OG0020688.0	OG0000026.45	OG0000833.0
nan	nan	-1.695729	nan	nan
OG0016142.4	OG0001661.0	OG0001853.0	OG0001438.24	OG0000082.1
-1.609565	nan	nan	nan	nan
OG0016097.1	OG0000638.38	OG0002154.0	OG0001280.24	OG0000006.561
-0.10312839999999998	nan	nan	nan	nan
OG0001209.1	OG0001398.24	OG0010533.4	OG0000038.0	OG0001688.16
nan	nan	-1.57267	nan	nan
OG0000011.1	OG0001453.1	OG0012973.0	OG0001859.0	OG0001147.24
nan	nan	-0.1224277	nan	nan
OG0000405.0	OG0020586.0	OG0000770.1	OG0000038.0	OG0001305.24
nan	-0.1531766	nan	nan	nan
OG0001699.1	OG0001218.24	OG0000038.0	OG0012945.3	OG0000270.2
nan	nan	nan	-1.3046389999999999	nan
OG0016176.0	OG0002088.0	OG0000011.1	OG0001423.30	OG0001189.24
-1.6521419999999998	nan	nan	nan	nan
OG0001049.26	OG0000865.1	OG0000367.3	OG0000012.918	OG0004480.1
nan	nan	nan	nan	0.7238978
OG0001439.24	OG0001080.1	OG0019425.0	OG0001674.0	OG0000006.561
nan	nan	1.179349	nan	nan
OG0000007.976	OG0000894.25	OG0016469.2	OG0001186.24	OG0001304.24
nan	nan	0.1291492	nan	nan
OG0000007.976	OG0000816.36	OG0014752.4	OG0000834.30	OG0000383.2
nan	nan	-1.716762	nan	nan
OG0000007.976	OG0001274.24	OG0007024.2	OG0001457.24	OG0000004.33
nan	nan	-1.295461	nan	nan
OG0000007.976	OG0001332.24	OG0001057.24	OG0001462.24	OG0007883.4
nan	nan	nan	nan	-1.250325
OG0002079.0	OG0001082.24	OG0000056.0	OG0019006.0	OG0000453.2
nan	nan	nan	0.30691929999999995	nan
OG0000054.0	OG0016682.2	OG0001084.24	OG0001253.24	OG0001387.26
nan	1.1981680000000001	nan	nan	nan
OG0001191.24	OG0001352.26	OG0011357.4	OG0000082.1	OG0000916.24
nan	nan	-0.3969654	nan	nan
OG0008141.0	OG0000011.1	OG0002056.0	OG0000984.24	OG0002038.0
1.013951	nan	nan	nan	nan
OG0001218.24	OG0002014.0	OG0001764.0	OG0011338.3	OG0000056.0
nan	nan	nan	0.3941008	nan
OG0000482.64	OG0001430.24	OG0001332.24	OG0008287.4	OG0000012.918
nan	nan	nan	-1.2962120000000001	nan
OG0000054.0	OG0001279.24	OG0012087.2	OG0000885.24	OG0001324.24
nan	nan	-0.36773579999999995	nan	nan
OG0001265.24	OG0008756.0	OG0000010.475	OG0001181.24	OG0001189.24
nan	-0.2574926	nan	nan	nan
OG0001067.24	OG0002035.0	OG0007613.14	OG0000082.1	OG0001920.0
nan	nan	-0.2784427	nan	nan
OG0001173.24	OG0001583.18	OG0014045.0	OG0000278.126	OG0000056.0
nan	nan	-0.38059380000000004	nan	nan
OG0002186.0	OG0006903.2	OG0001956.0	OG0000026.45	OG0000946.1
nan	-0.237644	nan	nan	nan
