-0.2543346	nan	0.5004995	nan	-1.193897	nan	-0.48995259999999996	0.24463070000000003	1.072216	1.4238030000000002	0.5172680000000001	0.8931176	0.4959093	nan	0.6821122	-1.188595	nan	-1.384011	-0.03572829	-1.047385	nan	-1.00752	0.05866991	nan	-0.003608783	0.5991901999999999	nan	0.43065420000000004	-0.6723432	nan	nan
OG0000837.0	OG0002761.0	OG0006443.2	OG0005664.4	OG0011914.6	OG0010734.0	OG0000102.0	OG0000046.1	OG0017893.0	OG0000589.0	OG0004245.1	OG0038121.0	OG0001557.1	OG0012965.0	OG0005315.0	OG0000056.0	OG0004069.4	OG0000632.24	OG0002175.0	OG0012994.0	OG0013992.0	OG0012865.12	OG0001204.24	OG0000169.16	OG0013740.8	OG0001795.0	OG0000263.57	OG0024595.0	OG0003037.24	OG0000323.43	OG0000054.0
0.1377884	-0.2778193	-0.8378687	-1.060419	-1.752643	-0.2510136	nan	nan	0.5541919	0.12362709999999999	-0.7428011999999999	2.34507	-0.8487799000000001	-0.7406638000000001	-0.1765945	nan	-0.8659628	nan	nan	0.03292009	0.01421903	-5.944424	nan	0.7571687	0.5957411	nan	nan	-1.677213	-0.3619243	nan	nan
OG0015381.4	OG0012773.4	OG0002909.2	OG0000109.0	OG0001289.1	OG0004353.1	OG0000294.0	OG0000092.1	OG0057363.0	OG0029065.0	OG0013727.2	OG0000001.1420	OG0007184.0	OG0001230.26	OG0001778.24	OG0007448.2	OG0001125.24	OG0012908.0	OG0005097.2	OG0001551.34	OG0045098.0	OG0000090.24	OG0000483.0	OG0003233.6	OG0001601.50	OG0000380.29	OG0003875.2	OG0000001.425	OG0004723.0	OG0005092.2	OG0000006.561
0.8082853	0.23345789999999997	0.12846	0.7297899	nan	-0.49200390000000005	nan	nan	-1.01424	-1.472964	0.8851671999999998	nan	0.8379556999999999	nan	nan	-0.8604959999999999	nan	-0.44994670000000003	0.04928862	0.23445349999999998	-6.2026069999999995	1.324674	0.3933374	0.413117	0.1270726	nan	-0.8671986999999999	nan	-0.8030961	0.2230459	nan
OG0000675.1	OG0047276.0	OG0002841.0	OG0000010.475	OG0000861.24	OG0006039.1	OG0000349.0	OG0001629.5	OG0000046.1	OG0003256.1	OG0003825.26	OG0000198.0	OG0018087.2	OG0000935.24	OG0000900.148	OG0000132.40	OG0006082.0	OG0007781.0	OG0020605.0	OG0002471.0	OG0005105.0	OG0016931.2	OG0005062.1	OG0001396.24	OG0007047.0	OG0000192.0	OG0000307.20	OG0002882.0	OG0004771.0	OG0004499.0	OG0000045.0
nan	0.29432040000000004	-0.448169	nan	nan	0.1434351	0.5581897	nan	nan	-0.6897595000000001	-1.058034	nan	-1.656495	nan	1.649534	nan	-0.8069473	-0.6279409	-1.648434	-0.7538576	-0.8550568999999999	1.5527540000000002	0.02147759	nan	-1.050607	-0.1931609	0.8478988000000002	-0.10240830000000001	-0.9866370999999999	-0.2250262	nan
OG0024748.0	OG0004004.10	OG0005073.0	OG0020546.0	OG0000092.1	OG0001093.24	OG0000142.14	OG0044727.0	OG0006335.0	OG0008571.0	OG0000056.0	OG0000467.0	OG0006474.4	OG0000318.0	OG0004627.2	OG0000828.16	OG0006800.0	OG0000923.0	OG0013173.1	OG0006837.2	OG0013022.0	OG0002140.0	OG0012844.14	OG0005659.6	OG0000176.0	OG0002718.4	OG0006415.0	OG0002098.0	OG0000841.0	OG0000015.773	OG0000012.918
1.0078850000000001	-0.6341718000000001	-0.35726779999999997	-2.087879	nan	nan	-1.2280879999999998	2.50126	-0.41635489999999997	0.4270215	nan	nan	-0.7093096999999999	0.05866991	0.48162510000000003	nan	0.4344226	0.6578341999999999	0.3227072	-0.8127504	0.17423450000000001	nan	1.501937	-0.291621	nan	-0.1905241	0.19971370000000002	nan	-0.13302039999999998	nan	nan
OG0004809.0	OG0000615.1	OG0025608.0	OG0017403.4	OG0004369.0	OG0000102.0	OG0001170.24	OG0009944.3	OG0008226.8	OG0008481.0	OG0003514.0	OG0000026.45	OG0004697.0	OG0000018.842	OG0000239.0	OG0000653.1	OG0000764.26	OG0001197.24	OG0020584.0	OG0016712.5	OG0000002.1788	OG0009869.0	OG0000048.382	OG0000442.2	OG0002862.0	OG0000263.57	OG0000599.0	OG0004724.0	OG0011976.0	OG0000010.2	OG0006197.0
-0.7244356	nan	0.9058879999999999	-1.558769	-0.2777908	nan	nan	-0.9482058000000001	-0.1003985	-0.2823142	-0.5511729000000001	nan	-0.7843251	0.1923812	-1.190717	nan	nan	nan	-0.09664661	-0.6873256	nan	-0.8578181	-0.4547853	-0.08343949	0.27922379999999997	nan	nan	-0.8112356	-0.5908708	nan	-0.6158587
OG0002169.0	OG0000032.252	OG0006844.0	OG0007178.0	OG0002108.0	OG0000214.0	OG0001604.2	OG0010701.0	OG0005686.0	OG0000420.0	OG0010092.0	OG0002764.20	OG0000600.26	OG0029067.0	OG0000579.24	OG0008450.4	OG0000139.0	OG0003176.17	OG0000011.1	OG0005621.0	OG0013543.0	OG0013654.3	OG0004257.24	OG0006124.2	OG0007223.2	OG0000176.0	OG0012196.0	OG0000435.0	OG0034927.0	OG0000112.0	OG0001483.24
