OG0003714.0	OG0000664.3	OG0006833.2	OG0006123.2	OG0000056.0	OG0006009.0	OG0000187.1	OG0000318.0	OG0001609.10	OG0013832.0	OG0002102.0	OG0000176.0	OG0004819.4	OG0005921.2	OG0003161.14	OG0000710.0	OG0000225.48	OG0004292.0	OG0008912.1
9.019125	nan	5.550587	5.6090800000000005	nan	183.6998	nan	nan	nan	225.9644	nan	nan	10.4156	76.04894	9.838635	9.025097	nan	2.012439	0.5694587
OG0000015.1	OG0005394.0	OG0002260.4	OG0005222.2	OG0004814.0	OG0000257.0	OG0002729.16	OG0004461.4	OG0005090.0	OG0000349.0	OG0000350.8	OG0005133.0	OG0008971.2	OG0004771.0	OG0008245.0	OG0000634.26	OG0000435.0	OG0000011.1	OG0002166.0
nan	5.869943	nan	0.8298646000000001	10.32145	nan	nan	9.483362	1.2160540000000002	2.254695	1.404703	2.404096	1.393849	71.74944	3.8382940000000003	nan	1.409416	nan	nan
OG0004452.2	OG0000575.28	OG0000429.0	OG0002751.22	OG0003331.17	OG0002471.0	OG0000132.40	OG0003866.0	OG0001322.24	OG0008611.0	OG0000916.24	OG0009839.2	OG0005124.4	OG0006010.2	OG0000121.128	OG0005681.2	OG0000120.105	OG0003068.0	OG0000010.475
19.44812	218.6506	4.577324	22.44911	3.479046	nan	nan	8.017149	nan	0.6454181	nan	4.468494000000001	8.364017	219.5185	3.155518	7.128753	nan	0.6497236	nan
OG0000483.0	OG0004435.0	OG0004142.0	OG0000119.0	OG0000853.1	OG0002777.4	OG0003925.0	OG0004243.8	OG0000409.24	OG0005666.2	OG0002231.0	OG0000121.128	OG0006082.0	OG0000027.457	OG0006184.0	OG0011295.0	OG0000142.14	OG0011419.0	OG0004054.20
1.9172209999999998	8.809806	117.5382	nan	nan	13.95474	2.899794	0.6889196	nan	113.8237	nan	3.155518	5.59743	nan	216.14	2.3855150000000003	4.598162	3.4625230000000005	0.8272409
OG0002765.0	OG0000015.773	OG0000480.64	OG0009906.2	OG0000334.9	OG0000006.561	OG0006833.2	OG0000323.43	OG0002825.0	OG0002848.0	OG0000350.8	OG0003625.28	OG0005303.2	OG0000047.282	OG0004647.0	OG0004304.0	OG0000599.0	OG0005444.0
0.41506040000000005	nan	nan	nan	1.265232	nan	5.550587	nan	3.942129	28.09905	1.404703	3.4825230000000005	2.0787	3.909817	3.970583	15.73962	nan	10.32986
OG0004837.2	OG0000013.2	OG0003229.0	OG0000071.0	OG0000310.18	OG0000736.0	OG0000538.0	OG0000187.1	OG0003818.6	OG0000175.4	OG0000966.4	OG0001806.0	OG0003568.0	OG0011803.0	OG0006589.0	OG0005886.2	OG0000435.0	OG0007404.0	OG0006490.14
9.393951	nan	1.723337	nan	nan	nan	nan	nan	0.5238347	nan	1.7591709999999998	1.499707	1.417956	1.124254	216.209	113.8672	1.409416	9.7295	1.847488
OG0000263.57	OG0003924.0	OG0003977.1	OG0004473.2	OG0000853.1	OG0000105.0	OG0000074.152	OG0000278.126	OG0002558.0	OG0000837.0	OG0005872.0	OG0004944.1	OG0005237.0	OG0000112.0	OG0015099.0	OG0007556.0	OG0003991.2	OG0002879.0	OG0000010.475
nan	0.6427265	1.692125	5.219119999999999	nan	nan	1.598608	nan	13.94974	3.360896	0.2455013	1.1171879999999998	7.405444	0.9729732	2.6324560000000004	1.24945	1.012053	2.167349	nan
OG0000044.1	OG0000018.842	OG0002408.0	OG0005640.2	OG0000663.26	OG0000043.242	OG0000007.976	OG0005306.0	OG0000486.2	OG0003205.0	OG0006009.0	OG0000746.0	OG0015419.2	OG0003230.0	OG0001244.24	OG0010780.2	OG0002879.0	OG0003068.0	OG0000245.24
nan	2.682202	1.683303	0.24367039999999998	nan	nan	nan	4.21019	2.731414	nan	183.6998	54.536	2.208889	2.2801419999999997	nan	2.647753	2.167349	0.6497236	nan
