OG0007549.0	OG0000006.561	OG0001813.8	OG0000463.51	OG0000290.0	OG0014542.4	OG0001167.24	OG0006963.0
-2.4297313844218773	-1.4663369871769107	-1.4953287646142606	-2.7413001844300973	-1.6624601578025762	-2.97029976578458	-2.6029637591278236	-1.5799218840206262
OG0001366.26	OG0000011.1	OG0009024.0	OG0004459.0	OG0002127.0	OG0000046.1	OG0016933.0	OG0001770.0
-1.9002335137070705	-1.347949534477697	-2.805912947883698	-3.040971781056306	-1.5959688603781748	-1.8293057663129169	-3.121549296903336	-1.6456606866214725
OG0000001.1420	OG0000909.26	OG0001075.1	OG0009869.0	OG0000125.49	OG0008061.3	OG0005701.4	OG0000771.24
-1.3147325934831586	-2.4285658841234907	-2.954557029238833	-3.012751907408848	-2.512925319948276	-3.202903991745088	-2.9839316313723465	-2.1165355818976774
OG0006231.0	OG0001238.24	OG0000359.28	OG0002073.0	OG0013912.6	OG0001275.26	OG0006392.0	OG0000082.1
-1.9392608421423214	-2.3093594213843067	-1.63464340296952	-1.9509269033456944	-3.542542288688426	-2.7140651920561276	-1.8617097662200885	-2.3800705758839222
OG0001405.24	OG0001592.24	OG0001226.24	OG0003661.0	OG0004285.1	OG0006579.6	OG0000407.1	OG0000018.289
-2.2129019183889955	-2.240588467435424	-2.395928676331139	-1.7027498788282933	-1.629054587423364	-2.555544953886064	-2.039784866105864	-1.58337640836713
OG0000054.0	OG0000364.1	OG0000004.778	OG0004609.0	OG0002214.0	OG0008497.0	OG0000892.1	OG0001048.24
-1.5576668766702486	-1.795358434389579	-2.4811627575634883	-1.636212158896711	-1.4558113933530294	-2.2789336312689503	-1.8380478410732577	-2.6303939299681622
OG0000548.29	OG0000257.0	OG0000012.918	OG0008209.0	OG0001459.24	OG0005027.0	OG0001540.26	OG0020416.0
-2.6104331882372747	-1.5253303408390566	-1.4031602455622152	-2.5269924320838264	-3.2310746644362487	-2.097270360766624	-3.0115879742752116	-2.4787482046301883
OG0005703.0	OG0000935.24	OG0000018.1	OG0000010.475	OG0001014.26	OG0002233.0	OG0006851.4	OG0011986.10
-1.6730025354342413	-2.2677742231246545	-1.5678957765313228	-1.5407782431771522	-2.4965494909944312	-2.091725081520941	-2.784383522922788	-1.9988463053836296
OG0000223.2	OG0011912.1	OG0000010.475	OG0001014.26	OG0000987.19	OG0003989.2	OG0002170.0	OG0007451.0
-1.6095524220066895	-2.458782551897963	-1.5407782431771522	-2.4965494909944312	-1.8494403234246188	-1.8685422145209123	-2.217591435072627	-2.2852489406569143
OG0000026.45	OG0001915.0	OG0002080.0	OG0003171.1	OG0014643.4	OG0001157.1	OG0010645.2	OG0000204.2
-1.1872142911325638	-1.9213901653036336	-3.016249351645075	-2.196276993225842	-1.9367731980030187	-2.2202780187929276	-2.31114825613412	-2.006941609418847
OG0009080.2	OG0000294.0	OG0001252.1	OG0005850.4	OG0000038.0	OG0001234.24	OG0006984.0	OG0001938.0
-2.351074440546879	-2.20058107800892	-2.4595758953553424	-3.0709665213541433	-1.8817731862070524	-1.997693532616831	-2.361416384768338	-2.3335160691625743
OG0002088.0	OG0000359.28	OG0000012.918	OG0007526.0	OG0009201.0	OG0000867.24	OG0009881.4	OG0001420.22
-2.0273808609918476	-1.63464340296952	-1.4031602455622152	-2.1468826087764485	-1.6073528560357366	-2.1115392304419593	-3.534495630370494	-1.825465745305098
OG0000054.0	OG0001379.1	OG0013967.0	OG0005639.0	OG0000261.0	OG0006669.3	OG0002006.0	OG0001337.24
-1.5576668766702486	-2.213236378814949	-2.8767311125056536	-1.4908615842822894	-1.837532132384696	-1.6051566384691394	-2.5047141706290357	-2.3154505308161575
OG0000026.45	OG0004608.0	OG0002231.0	OG0000709.10	OG0020482.0	OG0000584.0	OG0001149.24	OG0006332.2
-1.1872142911325638	-1.9691695698467255	-2.938984225318372	-1.387600316571993	-2.8211260418302047	-1.8463243502027624	-2.7651308482946195	-1.594443236656243
OG0001846.4	OG0002150.0	OG0000038.0	OG0004504.4	OG0014858.0	OG0001328.24	OG0000290.0	OG0011675.5
-1.7536527230990853	-2.369594528517677	-1.8817731862070524	-3.2709040918628958	-1.4018253878519928	-2.3313362222997793	-1.6624601578025762	-3.277883762181341
OG0000944.28	OG0000214.0	OG0001216.24	OG0000011.1	OG0005966.0	OG0014011.2	OG0002100.0	OG0004347.0
-2.7754657367202706	-1.4204336398397874	-2.5530027593236113	-1.347949534477697	-1.4975675525996508	-2.941198646383814	-2.8395960741399864	-1.9384311507319976
OG0004362.4	OG0001330.24	OG0002308.0	OG0000561.24	OG0001426.2	OG0000007.976	OG0000320.0	OG0000004.816
-1.715959736045904	-1.8651219456568886	-1.5166356392866507	-2.258080051505312	-2.203568368934305	-1.3154505308161575	-2.3072157433659903	-1.68362251808027
