0.0433724	0.208662	0.0705743	nan	0.056413	0.021575999999999998	nan	0.11482300000000001	0.020385900000000002	nan	nan	0.151474	0.047543699999999994	0.038372199999999995	0.254137	0.0487957	nan	0.0992212	0.182997	0.23859299999999997	0.0728793	0.0519808	nan	nan	nan	0.21409099999999998	0.0454797	0.0955598	nan	nan	0.0409981	1e-07	1e-07	0.0379194	1e-07	0.048197699999999996	1e-07	nan	nan	0.175744	nan	nan	1e-07	0.0471293	nan	0.14995899999999998	nan	0.0640552	0.0568722	0.13501300000000002	0.183283	0.237366	1e-07	1e-07	0.206112
OG0000173.0	OG0000120.105	OG0000824.24	OG0000687.0	OG0010570.0	OG0002873.0	OG0001326.24	OG0000888.24	OG0000002.1788	OG0001214.2	OG0024603.0	OG0001059.24	OG0000985.26	OG0002091.0	OG0000285.1	OG0000204.2	OG0001860.0	OG0002588.4	OG0011298.4	OG0003350.2	OG0000452.0	OG0003563.2	OG0038080.0	OG0046099.0	OG0002612.0	OG0016179.4	OG0006557.0	OG0010083.0	OG0003357.4	OG0001068.1	OG0006061.22	OG0006324.0	OG0007012.0	OG0000778.0	OG0004977.0	OG0005505.2	OG0000214.0	OG0000537.8	OG0001355.24	OG0001202.24	OG0000349.0	OG0001145.3	OG0002917.0	OG0002613.0	OG0000181.1	OG0006206.2	OG0027739.0	OG0017894.0	OG0021990.0	OG0000338.41	OG0000353.32	OG0001475.4	OG0003421.0	OG0002131.0	OG0008962.0
0.100438	0.05583919999999999	0.0583332	0.190635	nan	0.20734699999999998	0.0127809	0.0151822	0.25140999999999997	0.0133185	nan	1e-07	1e-07	1e-07	0.0279459	0.172758	1e-07	0.27746	nan	1e-07	0.11956099999999999	1.0	nan	nan	0.133691	nan	nan	nan	0.0174	0.039225699999999995	0.1	nan	nan	0.0796845	0.184889	0.1	0.23113899999999998	0.0585116	1e-07	0.0359669	0.16384300000000002	0.0155472	0.0325001	0.016556	0.126603	nan	nan	nan	nan	0.170489	0.0729511	0.154343	0.028825299999999998	1e-07	nan
OG0012368.0	OG0000173.0	OG0001788.24	OG0005456.4	OG0010661.6	OG0000807.26	OG0011379.0	OG0000682.0	OG0000411.0	OG0006224.0	OG0008741.10	OG0000018.1	OG0014367.8	OG0000451.0	OG0001811.2	OG0000002.763	OG0022292.0	OG0012708.0	OG0000479.1	OG0000169.16	OG0000020.431	OG0000534.23	OG0005001.1	OG0016272.0	OG0000005.318	OG0002462.10	OG0001381.24	OG0005742.0	OG0007960.0	OG0000026.45	OG0043630.0	OG0001952.4	OG0010074.0	OG0003379.4	OG0001700.2	OG0002208.6	OG0000706.25	OG0000864.26	OG0000147.0	OG0003076.0	OG0000371.2	OG0000231.0	OG0000948.24	OG0001880.0	OG0001058.26	OG0000942.24	OG0000898.1	OG0005204.0	OG0012107.0	OG0034236.0	OG0001432.24	OG0002158.0	OG0003407.1	OG0001258.24	OG0017900.0
nan	0.100438	0.106378	1e-07	nan	0.0383818	nan	0.10862899999999999	0.047806	nan	nan	0.233075	nan	0.261025	0.0471293	0.254137	nan	nan	0.0354291	0.265319	0.234949	0.113979	0.042220999999999995	nan	0.111919	0.137376	0.07011419999999999	nan	0.269111	0.171595	nan	0.16708599999999998	nan	0.11087799999999999	0.234907	1e-07	1e-07	0.015203999999999999	0.04170580000000001	0.0301142	0.06307549999999999	0.0897671	0.0759471	0.0155472	1e-07	0.038690499999999996	0.038699000000000004	0.1	nan	nan	0.0978098	0.040243	nan	1e-07	nan
OG0000383.2	OG0000173.0	OG0001538.6	OG0011948.0	OG0003352.0	OG0001974.3	OG0000228.35	OG0010592.6	OG0003490.0	OG0044979.0	OG0002374.6	OG0001248.1	OG0000741.0	OG0022844.0	OG0002132.0	OG0000107.44	OG0000738.19	OG0000290.0	OG0002105.0	OG0001383.24	OG0000011.866	OG0002152.0	OG0000930.24	OG0002603.0	OG0000074.152	OG0000380.29	OG0001522.0	OG0005372.4	OG0004118.0	OG0011223.2	OG0002253.0	OG0002569.34	OG0006238.2	OG0008293.1	OG0010577.0	OG0000386.0	OG0014975.0	OG0003194.15	OG0022325.0	OG0015537.0	OG0001085.24	OG0001123.1	OG0000336.0	OG0010588.0	OG0002582.8	OG0044605.0	OG0006640.0	OG0003366.0	OG0002013.0	OG0001475.4	OG0013473.2	OG0002133.0	OG0002102.0	OG0000320.0	OG0000583.0
0.0301228	0.100438	0.08203099999999999	nan	1e-07	0.0641953	nan	nan	0.0295007	nan	0.0325001	1e-07	0.0361671	nan	1e-07	0.18768800000000002	1e-07	0.0933375	0.09396289999999999	1e-07	0.208182	0.0127809	0.015169899999999998	0.029247700000000005	0.231402	0.08478510000000002	0.293013	0.1	0.285629	nan	1e-07	0.203756	nan	nan	0.5146189999999999	0.136302	nan	0.425099	nan	nan	1e-07	0.07319969999999999	0.20847	nan	0.24521700000000002	nan	nan	0.0539716	1e-07	0.154343	nan	0.0155472	1e-07	0.136905	0.051138699999999995
OG0024662.0	OG0001587.1	OG0001239.26	OG0000727.24	OG0001991.0	OG0001175.1	OG0002800.10	OG0000261.0	OG0003117.0	OG0001528.16	OG0000009.1	OG0001386.24	OG0001195.12	OG0000190.0	OG0005500.2	OG0000230.3	OG0000164.0	OG0001399.24	OG0000107.44	OG0001542.3	OG0009153.0	OG0001977.0	OG0001030.26	OG0001150.24	OG0003424.0	OG0011178.0	OG0006899.0	OG0003036.0	OG0001559.30	OG0003540.0	OG0021224.0	OG0001346.24	OG0008528.0	OG0017905.0	OG0000446.108	OG0048027.0	OG0000206.0	OG0002884.0	OG0000018.289	OG0000663.26	OG0000581.0	OG0002026.0	OG0046756.0	OG0000294.0	OG0049069.0	OG0006183.2	OG0002106.0	OG0002941.1	OG0013857.0	OG0003292.4	OG0013035.0	OG0000420.0	OG0000014.1	OG0001411.26	OG0007045.2
nan	1e-07	1e-07	0.0334073	0.0167584	1e-07	0.117666	0.13006099999999998	0.08858680000000001	0.0834623	0.330123	0.0401695	0.057308500000000005	0.104622	nan	nan	0.197489	1e-07	0.18768800000000002	0.038372199999999995	nan	0.19575499999999998	0.0446092	0.0155472	1e-07	1e-07	nan	0.17490799999999998	0.0445296	0.427281	nan	1e-07	0.519884	nan	nan	nan	0.0955598	0.0371082	0.20844000000000001	0.0764174	0.158916	0.0162139	nan	0.0241349	nan	nan	0.061099099999999996	0.149997	nan	0.134424	0.1	0.046928199999999996	0.114605	0.0392513	nan
OG0003427.0	OG0007423.2	OG0001702.28	OG0001519.24	OG0000009.1	OG0001578.0	OG0000302.34	OG0002530.28	OG0011153.0	OG0001924.24	OG0008937.2	OG0014022.4	OG0012708.0	OG0005511.0	OG0002336.0	OG0000305.0	OG0003441.0	OG0043911.0	OG0000196.0	OG0000977.1	OG0001165.26	OG0000039.0	OG0020775.0	OG0000388.1	OG0002418.9	OG0007730.0	OG0005917.0	OG0000346.14	OG0024533.0	OG0003482.0	OG0002055.0	OG0008359.0	OG0001167.24	OG0000581.0	OG0001397.24	OG0009887.4	OG0001246.24	OG0000160.4	OG0018780.5	OG0006267.0	OG0002110.0	OG0000512.25	OG0008532.6	OG0002240.0	OG0000584.0	OG0005092.2	OG0006246.0	OG0057085.0	OG0001336.24	OG0000382.41	OG0001388.12	OG0000420.0	OG0001049.26	OG0000605.0	OG0002031.0
0.017406900000000003	nan	0.141822	1e-07	0.330123	0.270701	0.0998573	0.045397	nan	1e-07	0.263212	nan	nan	nan	0.053546800000000006	0.168151	1e-07	nan	0.46099799999999996	0.119869	0.044570599999999995	0.21409099999999998	nan	0.0167955	0.09517619999999999	0.0535993	1e-07	0.173479	nan	1e-07	1e-07	nan	1e-07	0.158916	0.0155472	nan	0.0448336	0.196496	nan	nan	1e-07	0.0432093	nan	1e-07	0.0888893	nan	nan	nan	1e-07	0.06074109999999999	0.0348155	0.046928199999999996	0.0264335	0.49773599999999996	1e-07
OG0000046.1	OG0006546.0	OG0060388.0	OG0004891.1	OG0000081.1	OG0001074.2	OG0000567.0	OG0001280.24	OG0001864.0	OG0000045.0	OG0006608.0	OG0003497.0	OG0000323.43	OG0002507.18	OG0000247.29	OG0010131.2	OG0002523.0	OG0001499.24	OG0003203.2	OG0000196.0	OG0001996.0	OG0012985.0	OG0000440.0	OG0008534.1	OG0047593.0	OG0034797.0	OG0001144.24	OG0002337.7	OG0001337.24	OG0000997.23	OG0002993.1	OG0006633.0	OG0005393.6	OG0022891.0	OG0000154.251	OG0000938.24	OG0000246.0	OG0000927.0	OG0000160.4	OG0013020.0	OG0025929.0	OG0002383.22	OG0002864.12	OG0002092.0	OG0005568.0	OG0001102.24	OG0009183.0	OG0000886.24	OG0000586.7	OG0001039.1	OG0000044.1	OG0001432.24	OG0002244.0	OG0000197.0	OG0007428.0
0.263934	0.1	nan	0.23826399999999998	0.19278	0.0631343	0.08337280000000001	0.0167584	0.047356699999999995	0.07893689999999999	nan	1e-07	0.0559526	0.0536221	0.022981099999999997	nan	0.23544099999999998	1e-07	0.0547221	0.46099799999999996	0.0155472	nan	0.357731	nan	nan	nan	1e-07	0.06992000000000001	0.03654419999999999	0.0501075	0.154889	nan	nan	nan	nan	1e-07	0.12140899999999999	0.053941499999999996	0.196496	0.161528	nan	0.062474199999999994	0.187467	0.015210900000000001	nan	1e-07	nan	0.0514846	0.10688099999999999	1e-07	0.21297399999999997	0.0978098	1e-07	0.237366	nan
OG0000383.2	OG0015922.4	OG0003147.0	OG0000510.30	OG0001608.24	OG0003254.52	OG0007367.12	OG0000062.197	OG0013007.4	OG0012874.2	OG0000539.1	OG0005800.0	OG0003807.0	OG0002038.0	OG0002073.0	OG0003728.31	OG0016471.0	OG0000006.1	OG0001724.10	OG0002734.0	OG0008214.2	OG0030124.0	OG0001461.24	OG0002459.0	OG0010953.4	OG0000196.0	OG0001522.0	OG0001259.24	OG0002888.0	OG0002695.28	OG0001201.1	OG0048881.0	OG0003060.0	OG0027777.0	OG0001527.7	OG0012123.0	OG0000009.921	OG0002278.0	OG0006279.0	OG0000407.1	OG0002008.0	OG0010123.0	OG0000223.2	OG0000475.0	OG0000425.53	OG0000803.36	OG0000266.0	OG0000272.36	OG0000562.7	OG0001388.12	OG0000459.0	OG0029224.0	OG0003264.4	OG0000583.0	OG0000989.0
